Feature,Importance
ANDROID-VIDEO_PLAYERS,0.085337341
rog_m,0.046178422
ANDROID-SOCIAL,0.045456847
num_days,0.043521229
datepart_other,0.038606674
total_loc_brq,0.036989691
home,0.036489718
brq,0.036224348
work,0.034990559
distinctloc,0.03342798
ANDROID-TOOLS,0.026834962
WIFI,0.023647256
CELLULAR,0.023627007
distinctasn,0.0222252
ANDROID-PHOTOGRAPHY,0.01501
14,0.014419399
ANDROID-MUSIC_AND_AUDIO,0.013820554
15,0.013817905
12,0.013562489
13,0.013199078
ANDROID-TRAVEL_AND_LOCAL,0.013049724
11,0.012927231
16,0.012806084
10,0.012706491
9,0.012502735
ANDROID-PERSONALIZATION,0.0122872
ANDROID-COMMUNICATION,0.012259794
0,0.012169523
ANDROID-MAPS_AND_NAVIGATION,0.012102492
2,0.011861505
23,0.011794385
1,0.011416722
4,0.011181419
7,0.011170387
5,0.011149761
8,0.011110391
3,0.011056574
ANDROID-GAME_TRIVIA,0.010932898
6,0.010833079
ANDROID-HEALTH_AND_FITNESS,0.010535355
22,0.010305533
17,0.010158045
18,0.008205537
ANDROID-PRODUCTIVITY,0.008204846
21,0.008018114
ANDROID-ENTERTAINMENT,0.007573004
ANDROID-LIFESTYLE,0.007026022
ANDROID-GAME_ACTION,0.006787874
ANDROID-GAME_ARCADE,0.006763372
ANDROID-GAME_CASUAL,0.006501127
19,0.006400363
gender_F,0.006378173
20,0.006366848
ANDROID-GAME_WORD,0.006117677
ANDROID-DATING,0.005291079
ANDROID-GAME_PUZZLE,0.005275811
ANDROID-GAME_SPORTS,0.005082204
ANDROID-GAME_SIMULATION,0.004084815
gender_M,0.003654604
device_category_TABLET,0.00359036
ANDROID-WEATHER,0.003420993
ANDROID-SPORTS,0.003243902
ANDROID-GAME_RACING,0.002997215
ANDROID-GAME_CARD,0.002673755
ANDROID-NEWS_AND_MAGAZINES,0.00263832
