column,model,n_features
0,Anova,82
1,Anova,82
10,Anova,82
11,Anova,82
12,Anova,82
13,Anova,82
14,Anova,82
15,Anova,82
16,Anova,82
17,Anova,82
18,Anova,82
19,Anova,82
2,Anova,82
20,Anova,82
21,Anova,82
22,Anova,82
23,Anova,82
3,Anova,82
4,Anova,82
5,Anova,82
6,Anova,82
7,Anova,82
8,Anova,82
9,Anova,82
ANDROID-BOOKS_AND_REFERENCE,Anova,82
ANDROID-COMICS,Anova,82
ANDROID-COMMUNICATION,Anova,82
ANDROID-DATING,Anova,82
ANDROID-EDUCATION,Anova,82
ANDROID-ENTERTAINMENT,Anova,82
ANDROID-EVENTS,Anova,82
ANDROID-FINANCE,Anova,82
ANDROID-GAME_ACTION,Anova,82
ANDROID-GAME_ADVENTURE,Anova,82
ANDROID-GAME_ARCADE,Anova,82
ANDROID-GAME_BOARD,Anova,82
ANDROID-GAME_CARD,Anova,82
ANDROID-GAME_CASINO,Anova,82
ANDROID-GAME_CASUAL,Anova,82
ANDROID-GAME_EDUCATIONAL,Anova,82
ANDROID-GAME_MUSIC,Anova,82
ANDROID-GAME_PUZZLE,Anova,82
ANDROID-GAME_RACING,Anova,82
ANDROID-GAME_ROLE_PLAYING,Anova,82
ANDROID-GAME_SIMULATION,Anova,82
ANDROID-GAME_SPORTS,Anova,82
ANDROID-GAME_STRATEGY,Anova,82
ANDROID-GAME_TRIVIA,Anova,82
ANDROID-GAME_WORD,Anova,82
ANDROID-HEALTH_AND_FITNESS,Anova,82
ANDROID-HOUSE_AND_HOME,Anova,82
ANDROID-LIFESTYLE,Anova,82
ANDROID-MAPS_AND_NAVIGATION,Anova,82
ANDROID-MEDICAL,Anova,82
ANDROID-MUSIC_AND_AUDIO,Anova,82
ANDROID-NEWS_AND_MAGAZINES,Anova,82
ANDROID-PERSONALIZATION,Anova,82
ANDROID-PHOTOGRAPHY,Anova,82
ANDROID-PRODUCTIVITY,Anova,82
ANDROID-SHOPPING,Anova,82
ANDROID-SOCIAL,Anova,82
ANDROID-SPORTS,Anova,82
ANDROID-TOOLS,Anova,82
ANDROID-TRAVEL_AND_LOCAL,Anova,82
ANDROID-VIDEO_PLAYERS,Anova,82
ANDROID-WEATHER,Anova,82
CELLULAR,Anova,82
WIFI,Anova,82
brq,Anova,82
datepart_other,Anova,82
device_category_SMART PHONE,Anova,82
device_category_TABLET,Anova,82
distinctasn,Anova,82
distinctloc,Anova,82
gender_F,Anova,82
gender_M,Anova,82
gender_O,Anova,82
home,Anova,82
num_days,Anova,82
rog_m,Anova,82
total_loc_brq,Anova,82
work,Anova,82
